"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende","Text_de","Text_fr","Text_it"
1,"Zürich","Zurich","Zurigo",75.9,24.1,100,160,100,"100/160","Es sind <b>100 von 160</b> Gemeinden ausgezählt.","Le résultats de <b>100 des 160 communes sont connus.","I risultati di <b>100 dei 160 comuni sono noti."
2,"Bern","Berne","Berna",71.3,28.7,100,329,13,"13/329","Es sind <b>13 von 329</b> Gemeinden ausgezählt.","Le résultats de <b>13 des 329 communes sont connus.","I risultati di <b>13 dei 329 comuni sono noti."
3,"Luzern","Lucerne","Lucerna",73.2,26.8,73.2,79,79,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti."
4,"Uri","Uri","Uri",71,29,71,19,19,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti."
5,"Schwyz","Schwyz","Svitto",69.6,30.4,100,30,27,"27/30","Es sind <b>27 von 30</b> Gemeinden ausgezählt.","Le résultats de <b>27 des 30 communes sont connus.","I risultati di <b>27 dei 30 comuni sono noti."
6,"Obwalden","Obwald","Obvaldo",73.7,26.3,100,7,5,"5/7","Es sind <b>5 von 7</b> Gemeinden ausgezählt.","Le résultats de <b>5 des 7 communes sont connus.","I risultati di <b>5 dei 7 comuni sono noti."
7,"Nidwalden","Nidwald","Nidvaldo",0,0,50,11,0,"0/11","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
8,"Glarus","Glaris","Glarona",71.5,28.5,71.5,3,3,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti."
9,"Zug","Zoug","Zugo",0,0,50,11,0,"0/11","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
10,"Freiburg","Fribourg","Friburgo",66,34,100,119,105,"105/119","Es sind <b>105 von 119</b> Gemeinden ausgezählt.","Le résultats de <b>105 des 119 communes sont connus.","I risultati di <b>105 dei 119 comuni sono noti."
11,"Solothurn","Soleure","Soletta",72,28,100,104,103,"103/104","Es sind <b>103 von 104</b> Gemeinden ausgezählt.","Le résultats de <b>103 des 104 communes sont connus.","I risultati di <b>103 dei 104 comuni sono noti."
12,"Basel-Stadt","Bâle-Ville","Basilea Città",76,24,100,3,0,"0/3","Die brieflichen Stimmen sind ausgezählt.","Les votes par correspondance ont été dépouillés.","I voti per corrispondenza sono stati scrutinati."
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",72,28,100,86,69,"69/86","Es sind <b>69 von 86</b> Gemeinden ausgezählt.","Le résultats de <b>69 des 86 communes sont connus.","I risultati di <b>69 dei 86 comuni sono noti."
14,"Schaffhausen","Schaffhouse","Sciaffusa",0,0,50,26,0,"0/26","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",0,0,50,20,0,"0/20","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",73.8,26.2,73.8,5,5,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti."
17,"St. Gallen","Saint-Gall","San Gallo",73.6,26.4,100,75,68,"68/75","Es sind <b>68 von 75</b> Gemeinden ausgezählt.","Le résultats de <b>68 des 75 communes sont connus.","I risultati di <b>68 dei 75 comuni sono noti."
18,"Graubünden","Grisons","Grigioni",71.3,28.7,71.3,100,100,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti."
19,"Aargau","Argovie","Argovia",73.9,26.1,73.9,196,196,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti."
20,"Thurgau","Thurgovie","Turgovia",71.1,28.9,100,80,65,"65/80","Es sind <b>65 von 80</b> Gemeinden ausgezählt.","Le résultats de <b>65 des 80 communes sont connus.","I risultati di <b>65 dei 80 comuni sono noti."
21,"Tessin","Tessin","Ticino",68.6,31.4,100,100,85,"85/100","Es sind <b>85 von 100</b> Gemeinden ausgezählt.","Le résultats de <b>85 des 100 communes sont connus.","I risultati di <b>85 dei 100 comuni sono noti."
22,"Waadt","Vaud","Vaud",77.2,22.8,100,300,250,"250/300","Es sind <b>250 von 300</b> Gemeinden ausgezählt.","Le résultats de <b>250 des 300 communes sont connus.","I risultati di <b>250 dei 300 comuni sono noti."
23,"Wallis","Valais","Vallese",66.2,33.8,66.2,122,122,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti."
24,"Neuenburg","Neuchâtel","Neuchâtel",66.1,33.9,100,24,22,"22/24","Es sind <b>22 von 24</b> Gemeinden ausgezählt.","Le résultats de <b>22 des 24 communes sont connus.","I risultati di <b>22 dei 24 comuni sono noti."
25,"Genf","Genève","Ginevra",73.6,26.4,100,45,0,"0/45","Die brieflichen Stimmen sind ausgezählt.","Les votes par correspondance ont été dépouillés.","I voti per corrispondenza sono stati scrutinati."
26,"Jura","Jura","Giura",61.3,38.7,100,51,47,"47/51","Es sind <b>47 von 51</b> Gemeinden ausgezählt.","Le résultats de <b>47 des 51 communes sont connus.","I risultati di <b>47 dei 51 comuni sono noti."
