"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1501,51.4,51.4,48.6,"Beckenried NW","Beckenried hat mit 51,4 Prozent Nein gesagt Bargeldinitiative. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 51,4 Prozent."
1502,82.2,82.2,17.8,"Buochs NW","75,1 Prozent der Stimmbürgerinnen und Stimmbürger von Buochs haben sich für die Bargeldinitiative und 82,2 Prozent für den Gegenvorschlag von Bundesrat und Parlament ausgesprochen. Bei der Stichfrage gaben 80,7 Prozent der Initiative den Vorrang."
1503,67.9,67.9,32.1,"Dallenwil NW","Die Bargeldinitiative ist in Dallenwil mit 75,2 Prozent der Stimmen angenommen worden. Aber auch der Gegenvorschlag von Bundesrat und Parlament überzeugte einen Mehrheit von 67,9 Prozent. Bei der Stichfrage haben sich die Stimmberechtigten mit 97,7 Prozent für die Initiative ausgesprochen."
1504,54.4,54.4,45.6,"Emmetten NW","Emmetten hat mit 53,7 Prozent Nein gesagt Bargeldinitiative. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 54,4 Prozent."
1505,47,47,53,"Ennetbürgen NW","Die Bargeldinitiative ist in Ennetbürgen mit 72,2 Prozent der Stimmen angenommen worden. Der Gegenvorschlag von Bundesrat und Parlament hingegen wurde mit 53 Prozent abgelehnt."
1506,74.2,74.2,25.8,"Ennetmoos NW","Die Gemeinde Ennetmoos hat die Bargeldinitiative mit 67 Prozent und den Gegenvorschlag von Bundesrat und Parlament mit 74,2 Prozent angenommen. Bei der Stichfrage sprachen sich die Stimmberechtigten mit 83,4 Prozent für den Gegenvorschlag aus."
1507,92.6,92.6,7.4,"Hergiswil NW","Die Bargeldinitiative ist in Hergiswil NW mit 71,3 Prozent der Stimmen angenommen worden. Aber auch der Gegenvorschlag von Bundesrat und Parlament überzeugte einen Mehrheit von 92,6 Prozent. Bei der Stichfrage bevorzugten 69,8 Prozent den Gegenvorschlag."
1508,23.5,23.5,76.5,"Oberdorf NW","In Oberdorf NW hat weder die Bargeldinitiative (75,9 Prozent Nein) noch der Gegenvorschlag von Bundesrat und Parlament (76,5 Prozent Nein) eine Mehrheit erzielt."
1509,8.4,8.4,91.6,"Stans NW","Die Bargeldinitiative ist in Stans mit 68 Prozent der Stimmen angenommen worden. Der Gegenvorschlag von Bundesrat und Parlament hingegen wurde mit 91,6 Prozent abgelehnt."
1510,59.6,59.6,40.4,"Stansstad NW","Die Stimmbürgerinnen und Stimmbürger von Stansstad stimmten mit 75 Prozent für die Bargeldinitiative und mit 59,6 Prozent für den Gegenvorschlag von Bundesrat und Parlament. In der Stichfrage entschieden sich 52,3 Prozent für den Gegenvorschlag."
1511,36.8,36.8,63.2,"Wolfenschiessen NW","Sowohl die Bargeldinitiative mit 68 Prozent Nein-Stimmen als auch der Gegenvorschlag des Bundesrat und Parlaments mit 63,2 Prozent Nein-Stimmen haben in Wolfenschiessen die Mehrheit verfehlt."
