"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6702,"deux fois non",27.5,72.5,"Boécourt (JU)","Ni l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"", ni le contre-projet du Conseil fédéral et du Parlement ne trouvent grâce aux yeux des citoyens de Boécourt. Ils refusent avec 72,5 % de non l’initiative. Ils s'opposent aussi au contre-projet (68,2 % de non), qui vise à garantir la disponibilité de l'argent liquide par des dispositions juridiquement éprouvées."
6703,"deux fois non",47.8,52.2,"Bourrignon (JU)","Non à 52,2 % à l’initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"", et non aussi à 74,6 % au contre-projet du Conseil fédéral et du Parlement garantissant la disponibilité de l'argent liquide. Les citoyens de Bourrignon ont refusé l'initiative et le contre-projet."
6704,"deux fois non",48,52,"Châtillon (JU)","Les citoyens de Châtillon (JU) ne veulent ni inscrire dans la Constitution l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"", ni accepter le contre-projet du Conseil fédéral et du Parlement. Ils ont refusé l'initiative avec 52 % de non et le contre-projet avec 56,7 % de non."
6706,"initiative oui",88.5,11.5,"Courchapoix (JU)","Les citoyens de Courchapoix souhaitent que la disponibilité de l'argent liquide soit garantie par des bases légales claires. Ils ont dit oui à 50,2 % de oui au contre-projet à l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"". Ils ont été 46,4 % à préférer le contre-projet. L'initiative a obtenu 88,5 % de oui."
6708,"deux fois non",24,76,"Courrendlin (JU)","Les citoyens de Courrendlin ne veulent ni inscrire dans la Constitution l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"", ni accepter le contre-projet du Conseil fédéral et du Parlement. Ils ont refusé l'initiative avec 76 % de non et le contre-projet avec 68,8 % de non."
6709,"deux fois non",11.7,88.3,"Courroux (JU)","À Courroux, ni l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"", ni le contre-projet du Conseil fédéral et du Parlement ne convainquent. L'initiative est rejetée avec 88,3 % de non, tandis que le contre-projet, qui vise à garantir la disponibilité de l'argent liquide, est refusé avec 94,5 % de non."
6710,"initiative oui",94,6,"Courtételle (JU)","Les électeurs de Courtételle approuvent à 94 % l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"". Ils refusent en revanche le contre-projet du Conseil fédéral et du Parlement garantissant la disponibilité de l'argent liquide (38,9 %)."
6711,"contre-proposition oui",32.9,67.1,"Delémont (JU)","Les citoyens de Delémont acceptent avec 78,3 % de oui le contre-projet du Conseil fédéral et du Parlement garantissant la disponibilité de l'argent liquide. Ils s'opposent par contre à l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"" (non à 67,1 %)."
6712,"initiative oui",79.3,20.7,"Develier (JU)","Oui à 79,3 % à l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"" qui veut garantir le maintien de l'argent liquide en Suisse en inscrivant sa disponibilité dans la Constitution. Oui également avec 61 % de oui au contre-projet du Conseil fédéral et du Parlement qui reprend des formulations de lois éprouvées, juridiquement univoques et faciles à mettre en oeuvre. Les citoyens de Develier ont toutefois préféré l'initiative avec 72,1 % de oui."
6713,"contre-proposition oui",57.2,42.8,"Ederswiler (JU)","Les citoyens d'Ederswiler ont tranché en faveur du contre-projet du Conseil fédéral et du Parlement visant à garantir la disponibilité de l'argent liquide (65,8 % de oui). Ils ont préféré cette proposition avec 51,8 % de oui. Ils ont toutefois également approuvé avec 57,2 % de oui l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets""."
