"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6702,31.8,31.8,68.2,"Boécourt (JU)","Ni l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"", ni le contre-projet du Conseil fédéral et du Parlement ne trouvent grâce aux yeux des citoyens de Boécourt. Ils refusent avec 72,5 % de non l’initiative. Ils s'opposent aussi au contre-projet (68,2 % de non), qui vise à garantir la disponibilité de l'argent liquide par des dispositions juridiquement éprouvées."
6703,25.4,25.4,74.6,"Bourrignon (JU)","Non à 52,2 % à l’initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"", et non aussi à 74,6 % au contre-projet du Conseil fédéral et du Parlement garantissant la disponibilité de l'argent liquide. Les citoyens de Bourrignon ont refusé l'initiative et le contre-projet."
6704,43.3,43.3,56.7,"Châtillon (JU)","Les citoyens de Châtillon (JU) ne veulent ni inscrire dans la Constitution l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"", ni accepter le contre-projet du Conseil fédéral et du Parlement. Ils ont refusé l'initiative avec 52 % de non et le contre-projet avec 56,7 % de non."
6706,50.2,50.2,49.8,"Courchapoix (JU)","Les citoyens de Courchapoix souhaitent que la disponibilité de l'argent liquide soit garantie par des bases légales claires. Ils ont dit oui à 50,2 % de oui au contre-projet à l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"". Ils ont été 46,4 % à préférer le contre-projet. L'initiative a obtenu 88,5 % de oui."
6708,31.2,31.2,68.8,"Courrendlin (JU)","Les citoyens de Courrendlin ne veulent ni inscrire dans la Constitution l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"", ni accepter le contre-projet du Conseil fédéral et du Parlement. Ils ont refusé l'initiative avec 76 % de non et le contre-projet avec 68,8 % de non."
6709,5.5,5.5,94.5,"Courroux (JU)","À Courroux, ni l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"", ni le contre-projet du Conseil fédéral et du Parlement ne convainquent. L'initiative est rejetée avec 88,3 % de non, tandis que le contre-projet, qui vise à garantir la disponibilité de l'argent liquide, est refusé avec 94,5 % de non."
6710,38.9,38.9,61.1,"Courtételle (JU)","Les électeurs de Courtételle approuvent à 94 % l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"". Ils refusent en revanche le contre-projet du Conseil fédéral et du Parlement garantissant la disponibilité de l'argent liquide (38,9 %)."
6711,78.3,78.3,21.7,"Delémont (JU)","Les citoyens de Delémont acceptent avec 78,3 % de oui le contre-projet du Conseil fédéral et du Parlement garantissant la disponibilité de l'argent liquide. Ils s'opposent par contre à l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"" (non à 67,1 %)."
6712,61,61,39,"Develier (JU)","Oui à 79,3 % à l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"" qui veut garantir le maintien de l'argent liquide en Suisse en inscrivant sa disponibilité dans la Constitution. Oui également avec 61 % de oui au contre-projet du Conseil fédéral et du Parlement qui reprend des formulations de lois éprouvées, juridiquement univoques et faciles à mettre en oeuvre. Les citoyens de Develier ont toutefois préféré l'initiative avec 72,1 % de oui."
6713,51.8,51.8,48.2,"Ederswiler (JU)","Les citoyens d'Ederswiler ont tranché en faveur du contre-projet du Conseil fédéral et du Parlement visant à garantir la disponibilité de l'argent liquide (65,8 % de oui). Ils ont préféré cette proposition avec 51,8 % de oui. Ils ont toutefois également approuvé avec 57,2 % de oui l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets""."
6715,62.2,62.2,37.8,"Mervelier (JU)","À Mervelier, les électeurs soutiennent l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"", qui vise à inscrire la garantie de l'argent liquide dans le droit. Elle obtient 64,4. Le contre-projet du Conseil fédéral et du Parlement passe lui aussi la rampe avec 62,2 % de oui et entend garantir la disponibilité du numéraire par des bases légales précises. Mais à la question décisive, la majorité (73 % de oui) choisit l'initiative."
6716,35.2,35.2,64.8,"Mettembert (JU)","Non à 91,1 % à l’initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"", et non aussi à 64,8 % au contre-projet du Conseil fédéral et du Parlement garantissant la disponibilité de l'argent liquide. Les citoyens de Mettembert ont refusé l'initiative et le contre-projet."
6718,11.5,11.5,88.5,"Movelier (JU)","Les citoyens de Movelier disent oui à 58 à l'initiative ""Oui à une monnaie suisse libre et indépendante sous forme de pièces ou de billets"". Ils s'opposent par contre au contre-projet du Conseil fédéral et du Parlement avec 88,5 % de non."
